order_id,order_date,customer_id,customer_email,channel,sku,quantity,unit_price,discount_pct,ship_country,status,gross_amount,line_total
SO-10000,2026-02-13,C-1204,aoife.lindqvist@example.org,phone,SP-5000,1,7.20,0,CA,shipped,7.20,7.20
SO-10001,2026-02-07,C-1007,ewan.nikolaidis@example.org,phone,HL-1001,1,24.50,0,GB,delivered,24.50,24.50
SO-10002,2026-01-07,C-1230,ewan.voss@example.net,phone,FC-4100,1,9.40,0,US,shipped,9.40,9.40
SO-10003,2026-01-25,C-1230,lena.whitfield@example.org,phone,FC-4100,4,9.40,0,AU,placed,37.60,37.60
SO-10004,2026-02-09,C-1050,rafael.marchetti@example.com,phone,SP-5000,2,7.20,25,DE,shipped,14.40,10.80
SO-10005,2026-02-04,C-1224,priya.cardenas@example.org,mobile,SP-5000,4,7.20,0,US,shipped,28.80,28.80
SO-10006,2026-02-04,C-1170,marta.thackeray@example.net,phone,FC-4100,4,9.40,0,AU,placed,37.60,37.60
SO-10007,2026-02-24,C-1215,ewan.lindqvist@example.net,partner,VF-3051,3,18.99,25,JP,placed,56.97,42.73
SO-10008,2026-01-05,C-1226,ingrid.ferreira@example.com,phone,FC-4100,1,9.40,0,AU,shipped,9.40,9.40
SO-10009,2026-02-01,C-1077,ingrid.lindqvist@example.com,web,HL-1002,2,11.95,0,AU,shipped,23.90,23.90
SO-10011,2026-01-07,C-1225,reza.nakamura@example.com,phone,HL-1001,4,24.50,25,FR,delivered,98.00,73.50
SO-10012,2026-02-03,C-1084,aoife.bergstrom@example.net,phone,VF-3050,3,16.50,10,US,delivered,49.50,44.55
SO-10013,2026-01-07,C-1193,reza.lindqvist@example.com,mobile,FC-4101,4,31.20,10,DE,delivered,124.80,112.32
SO-10014,2026-01-22,C-1114,priya.lindqvist@example.com,phone,SP-5001,4,5.45,0,DE,shipped,21.80,21.80
SO-10015,2026-02-28,C-1036,tomas.okonkwo@example.com,phone,NT-2010,4,68.00,15,JP,placed,272.00,231.20
SO-10016,2026-02-12,C-1093,emeka.marchetti@example.com,partner,HL-1001,1,24.50,25,FR,shipped,24.50,18.38
SO-10017,2026-01-10,C-1054,bo.dunmore@example.net,web,NT-2010,1,68.00,0,CA,shipped,68.00,68.00
SO-10018,2026-02-22,C-1107,priya.thackeray@example.com,partner,HL-1001,3,24.50,10,JP,shipped,73.50,66.15
SO-10019,2026-01-10,C-1014,joaquin.thackeray@example.com,web,FC-4101,2,31.20,0,AU,shipped,62.40,62.40
SO-10021,2026-02-12,C-1039,idris.cardenas@example.com,mobile,VF-3051,4,18.99,0,DE,delivered,75.96,75.96
SO-10022,2026-02-10,C-1230,bo.whitfield@example.com,partner,FC-4100,3,9.40,10,AU,placed,28.20,25.38
SO-10023,2026-02-26,C-1063,callum.dunmore@example.org,phone,NT-2011,2,22.00,25,FR,delivered,44.00,33.00
SO-10024,2026-02-21,C-1149,ewan.okonkwo@example.com,partner,VF-3051,3,18.99,0,JP,delivered,56.97,56.97
SO-10025,2026-02-27,C-1087,saskia.oyelaran@example.org,partner,HL-1001,1,24.50,25,GB,shipped,24.50,18.38
SO-10026,2026-02-25,C-1025,ewan.kaur@example.org,mobile,FC-4101,4,31.20,0,DE,shipped,124.80,124.80
SO-10028,2026-02-19,C-1054,idris.lindqvist@example.org,mobile,VF-3051,3,18.99,0,JP,placed,56.97,56.97
SO-10030,2026-02-02,C-1111,amara.nakamura@example.com,partner,VF-3051,1,18.99,0,FR,delivered,18.99,18.99
SO-10031,2026-02-18,C-1034,ingrid.ferreira@example.org,mobile,NT-2011,1,22.00,0,JP,shipped,22.00,22.00
SO-10033,2026-01-25,C-1069,reza.nikolaidis@example.org,phone,VF-3050,1,16.50,15,FR,shipped,16.50,14.02
SO-10035,2026-02-08,C-1065,tomas.petrov@example.com,phone,VF-3051,1,18.99,0,CA,placed,18.99,18.99
SO-10036,2026-01-16,C-1157,priya.dunmore@example.org,phone,HL-1002,3,11.95,0,FR,delivered,35.85,35.85
SO-10037,2026-01-21,C-1133,nikolai.ashgrove@example.net,web,HL-1002,3,11.95,0,CA,shipped,35.85,35.85
SO-10038,2026-02-25,C-1239,lena.nikolaidis@example.org,web,VF-3050,4,16.50,0,US,shipped,66.00,66.00
SO-10039,2026-01-26,C-1014,saskia.whitfield@example.org,mobile,VF-3051,2,18.99,10,JP,delivered,37.98,34.18
SO-10040,2026-02-09,C-1154,ingrid.oyelaran@example.com,partner,FC-4101,1,31.20,0,GB,placed,31.20,31.20
SO-10041,2026-01-21,C-1002,saskia.thackeray@example.net,phone,FC-4101,4,31.20,0,JP,delivered,124.80,124.80
SO-10042,2026-01-21,C-1217,priya.petrov@example.com,web,NT-2010,2,68.00,25,US,delivered,136.00,102.00
SO-10043,2026-02-18,C-1080,nikolai.nikolaidis@example.org,web,FC-4100,3,9.40,5,GB,placed,28.20,26.79
SO-10044,2026-02-14,C-1211,rafael.bergstrom@example.org,mobile,VF-3050,1,16.50,0,FR,placed,16.50,16.50
SO-10045,2026-02-23,C-1211,mateo.dunmore@example.com,mobile,NT-2011,2,22.00,15,JP,delivered,44.00,37.40
SO-10046,2026-03-02,C-1177,nikolai.nakamura@example.net,partner,FC-4100,3,9.40,10,CA,placed,28.20,25.38
SO-10047,2026-01-06,C-1080,emeka.halloran@example.net,phone,VF-3050,1,16.50,0,JP,delivered,16.50,16.50
