ticket_id,opened_at,customer_email,category,first_response_mins,priority,sla_breached
TK-200000,2026-01-31T08:27:00Z,emeka.voss@example.com,billing,70,urgent,true
TK-200001,2026-01-11T07:01:00Z,nikolai.oyelaran@example.com,account-access,344,urgent,true
TK-200002,2026-01-15T16:07:00Z,reza.dunmore@example.net,account-access,146,urgent,true
TK-200004,2026-01-05T14:03:00Z,dana.ilves@example.com,account-access,303,urgent,true
TK-200005,2026-01-11T17:19:00Z,tomas.marchetti@example.net,product-defect,409,urgent,true
TK-200006,2026-01-17T08:15:00Z,joaquin.nikolaidis@example.org,shipping,442,urgent,true
TK-200010,2026-01-08T14:24:00Z,kwame.nakamura@example.com,other,463,urgent,true
TK-200013,2026-02-01T17:03:00Z,mateo.whitfield@example.org,other,308,urgent,true
TK-200014,2026-01-08T10:48:00Z,freya.halloran@example.com,shipping,303,urgent,true
TK-200016,2026-01-29T12:13:00Z,kwame.oyelaran@example.com,other,115,urgent,true
TK-200017,2026-01-17T18:59:00Z,marta.marchetti@example.org,product-defect,305,urgent,true
TK-200018,2026-01-16T13:23:00Z,sunniva.kaur@example.net,product-defect,314,urgent,true
TK-200022,2026-01-25T08:55:00Z,ingrid.lindqvist@example.com,shipping,262,urgent,true
TK-200027,2026-01-27T18:54:00Z,tomas.halloran@example.org,billing,85,urgent,true
TK-200032,2026-01-30T18:39:00Z,nikolai.kaur@example.com,account-access,256,urgent,true
TK-200035,2026-01-19T14:24:00Z,sunniva.marchetti@example.net,product-defect,273,urgent,true
TK-200039,2026-01-17T15:44:00Z,nadia.okonkwo@example.org,returns,247,urgent,true
TK-200040,2026-01-08T10:50:00Z,reza.cardenas@example.net,shipping,122,urgent,true
TK-200042,2026-01-09T18:31:00Z,saskia.nikolaidis@example.com,account-access,77,urgent,true
TK-200044,2026-01-24T16:48:00Z,nikolai.kaur@example.net,product-defect,165,urgent,true
TK-200045,2026-01-31T17:05:00Z,rafael.nikolaidis@example.org,account-access,399,urgent,true
TK-200046,2026-01-25T14:58:00Z,saskia.marchetti@example.org,account-access,69,urgent,true
TK-200048,2026-02-03T09:29:00Z,ingrid.ferreira@example.net,shipping,224,urgent,true
TK-200049,2026-01-13T15:37:00Z,emeka.bergstrom@example.org,product-defect,333,urgent,true
TK-200053,2026-01-23T10:34:00Z,lena.lindqvist@example.net,product-defect,136,urgent,true
TK-200054,2026-01-25T12:11:00Z,reza.dunmore@example.com,product-defect,414,urgent,true
TK-200056,2026-01-28T14:16:00Z,saskia.halloran@example.net,product-defect,251,urgent,true
